# Формат: категория|сложность|слово|подсказка
Животные|easy|кот|Домашнее животное, которое мурлычет
Животные|easy|собака|Лучший друг человека
Животные|medium|лев|Король джунглей
Животные|medium|тигр|Большая полосатая кошка
Животные|medium|слон|Самое большое наземное животное
Животные|hard|броненосец|Животное с панцирем
Животные|hard|утконос|Млекопитающее с клювом
Животные|hard|ламантин|Морское млекопитающее, известное как морская корова
Животные|hard|какапо|Ночной нелетающий попугай

Фрукты|easy|яблоко|Красный или зеленый фрукт
Фрукты|easy|груша|Фрукт грушевидной формы
Фрукты|easy|киви|Маленький коричневый фрукт с зеленой мякотью
Фрукты|medium|банан|Длинный желтый фрукт
Фрукты|medium|ананас|Тропический фрукт с короной
Фрукты|medium|манго|Сладкий тропический фрукт
Фрукты|hard|авокадо|Зеленый фрукт с большой косточкой
Фрукты|hard|дуриан|Фрукт с сильным запахом
Фрукты|hard|питайя|Экзотический фрукт с яркой кожурой
Фрукты|hard|фейхоа|Фрукт с ароматом земляники и ананаса

Страны|easy|Россия|Самая большая страна в мире
Страны|easy|Китай|Страна с самым большим населением
Страны|easy|Индия|Страна на юге Азии
Страны|medium|Бразилия|Страна, известная своими карнавалами
Страны|medium|Египет|Страна пирамид
Страны|medium|Мексика|Страна текилы и сомбреро
Страны|hard|Мадагаскар|Островное государство у берегов Африки
Страны|hard|Парагвай|Страна в Южной Америке без выхода к морю
Страны|hard|Непал|Страна с горой Эверест
Страны|hard|Катар|Богатое государство на Ближнем Востоке

Спорт|easy|футбол|Игра, где пинают мяч ногами
Спорт|easy|бег|Быстрое перемещение ногами
Спорт|easy|шахматы|Игра на доске с фигурами
Спорт|medium|плавание|Передвижение в воде
Спорт|medium|теннис|Игра с ракетками и мячом
Спорт|medium|волейбол|Игра, где мяч перебрасывают через сетку
Спорт|hard|бобслей|Спуск по ледяному желобу на специальных санях
Спорт|hard|скелетон|Спуск на санях головой вперед
Спорт|hard|кёрлинг|Игра с камнями на льду
Спорт|hard|хапкидо|Корейское боевое искусство

Технологии|easy|компьютер|Электронное вычислительное устройство
Технологии|easy|смартфон|Мобильный телефон с расширенными функциями
Технологии|easy|радио|Устройство для передачи звука по воздуху
Технологии|medium|интернет|Глобальная сеть для передачи данных
Технологии|medium|робот|Автоматическое устройство, выполняющее заданные функции
Технологии|medium|лазер|Устройство, излучающее узкий пучок света
Технологии|hard|блокчейн|Распределённая база данных
Технологии|hard|алгоритм|Последовательность действий для решения задачи
Технологии|hard|нанотехнология|Технология манипулирования веществом на молекулярном уровне
Технологии|hard|биоинформатика|Наука на стыке биологии и информатики

Литература|easy|роман|Жанр повествовательной литературы
Литература|easy|поэзия|Форма литературного творчества, выраженная в стихах
Литература|easy|басня|Короткий нравоучительный рассказ
Литература|medium|эпиграф|Короткая цитата перед началом текста
Литература|medium|метафора|Переносное значение слова или фразы
Литература|medium|ирония|Тонкая насмешка
Литература|hard|аллитерация|Повторение одинаковых согласных звуков
Литература|hard|эпилог|Заключительная часть произведения
Литература|hard|оксюморон|Соединение несовместимых понятий
Литература|hard|гротеск|Искажение реальности для создания комического эффекта

История|easy|война|Вооружённый конфликт между государствами
История|easy|император|Правитель империи
История|easy|замок|Средневековое укрепление
История|medium|революция|Резкие изменения в обществе или государстве
История|medium|колонизация|Освоение новых территорий
История|medium|реформация|Движение за обновление церкви
История|hard|ренессанс|Эпоха возрождения искусств и наук
История|hard|просвещение|Эпоха развития науки и философии
История|hard|абсолютизм|Форма правления с неограниченной властью монарха
История|hard|меркантилизм|Экономическая политика раннего капитализма
